
Goal,3
rows,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
cols,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5

Robot,0
rows,5,6,7,7,7,7,7,8,8,7,6,6,7,6,6,6,6,7,6,7,6,6,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,4,3,2,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,5,6,6,6,6,7,7,7,6,6,6,6,6,5,4,3,2,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,5,5,4,4,4,4,5,5,5,6,6,6,6,5,5,5,4,5,4,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,1,1,1,2,2,1,2,1,2,2,3,3,3,4,4,4,5,5,6,7,7,6,7,8,8,7,8,8,7,8,8,7,7,7,7,7,6,6,5,6,7,7,7,6,5,5,5,5,4,3,3,3,3,3,2,2,3,2,2,2,1,0,0,1,2,2,2,1,1,0,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,3,4,4,3,3,4,4,5,6,7,6,7,8,8,8,7,8,7,8,7,6,7,7,8,7,6,6,7,7,8,8,8,8,8,7,7,7,6,6,5,4,3,2,2,2,2,3,3,2,3,2,2,2,1,1,2,3,3,4,5,5,4,5,4,5,6,5,6,6,6,5,5,6,5,5,5,4,4,5,4,4,4,5,5,4,4,4,4,3,3,3,3,4,4,4,4,5,6,5,6,5,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,7,7,8,7,7,6,6,5,4,4,5,6,6,6,7,6,7,7,7,6,7,8,8,8,8,8,7,7,6,7,8,7,7,6,7,6,6,5,5,5,4,4,3,2,2,2,3,3,3,3,3,2,1,1,0,0,0,1,2,3,2,2,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,4,3,2,3,2,2,2,2,3,3,4,4,5,4,4,5,4,5,5,5,4,4,5,5,6,5,5,4,5,5,5,5,6,5,6,6,5,6,5,5,5,6,6,5,5,6,6,5,5,5,5,5,5,5,4,4,4,3,3,4,3,3,3,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,3,4,5,4,4,4,4,5,5,5,6,7,6,6,6,6,5,5,6,6,7,6,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,5,4,4,4,4,4,5,5,4,4,5,6,6,6,6,5,6,6,6,6,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,7,6,5,4,3,4,4,3,4,3,3,2,3,3,3,3,3,3,3,4,5,5,5,6,6,7,8,7,8,7,8,9,9,8,8,9,9,9,9,8,7,7,6,6,5,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4,4,3,3,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,2,2,2,3,4,3,4,4,4,4,4,4,4,4,5,6,7,7,6,5,5,5,5,4,4,4,4,3,3,3,2,2,3,3,4,4,3,2,2,3,4,4,5,4,4,4,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,7,8,8,8,8,8,7,7,7,8,8,8,8,8,7,7,6,7,6,6,5,5,4,4,4,4,4,4,5,5,4,4,3,4,5,6,7,7,7,6,6,6,6,6,6,5,4,4,4,4,4,3,3,3,3,2,2,2,1,1,1,0,0,0,1,1,0,0,0,0,1,2,2,1,1,0,1,2,1,2,1,1,2,2,2,3,2,2,2,1,0,1,2,1,1,0,1,2,3,3,4,4,3,4,5,4,4,3,3,2,2,1,0,1,0,0,0,1,2,2,2,3,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,6,7,7,6,6,7,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,6,5,5,6,5,6,6,5,6,6,7,6,5,5,5,4,5,5,4,4,3,3,3,2,3,3,2,2,2,3,3,3,2,1,1,2,2,1,0,1,1,2,2,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,5,6,7
cols,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,2,2,2,2,2,1,1,1,0,1,1,1,1,2,3,3,2,3,4,3,4,4,3,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,4,5,6,6,5,6,7,6,5,5,5,5,5,5,4,3,3,4,3,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,4,3,4,5,5,5,4,3,2,2,3,3,4,5,5,4,4,3,3,2,2,1,2,3,2,3,3,3,4,3,4,4,3,3,4,4,5,6,6,6,7,6,7,6,6,6,7,7,8,7,7,7,7,8,8,9,8,9,9,9,8,8,8,8,8,9,9,9,9,8,7,6,5,5,5,5,4,3,4,4,3,2,2,1,1,1,1,1,2,2,1,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,4,4,3,3,2,2,2,2,3,2,2,2,1,1,2,2,2,2,1,1,0,0,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,2,2,2,1,2,1,2,1,0,0,1,1,1,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,7,6,6,5,5,5,4,4,4,4,4,5,6,7,7,8,8,8,8,7,6,6,7,7,7,8,8,8,7,7,7,7,7,7,7,7,6,5,5,6,6,6,6,6,6,6,6,6,5,4,4,5,5,6,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,5,5,5,6,7,8,9,8,8,7,8,7,7,7,7,7,7,8,8,8,7,7,6,6,6,7,7,7,8,8,8,8,8,7,7,7,7,7,6,5,5,4,4,4,4,4,4,4,3,3,3,3,2,2,1,0,0,0,0,0,1,2,2,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,2,2,3,3,3,3,3,3,4,3,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5,6,5,5,4,4,3,3,2,2,3,4,3,4,5,6,6,5,6,6,7,7,7,7,7,7,7,7,6,5,5,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,5,6,7,7,8,8,8,8,8,8,9,9,9,9,8,9,9,9,8,8,7,8,9,8,9,8,8,9,9,8,8,8,9,8,8,8,8,7,7,6,6,6,5,4,4,4,4,3,2,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,2,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,6,6,6,7,6,6,6,7,7,8,8,8,9,9,9,9,8,9,9,9,8,9,9,8,7,8,8,8,9,8,7,7,7,7,7,7,7,7,6,5,4,4,4,3,3,3,4,4,3,3,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4,4,5,5,5,4,3,2,2,3,4,3,3,2,3,3,2,2,3,3,3,3,3,3,3,3,4,4,4,5,6,6,7,8,9,9,8,8,9,9,8,9,9,8,7,7,7,7,8,9,9,9,9,8,8,8,8,8,9,8,8,9,9,9,9,8,8,9,9,9,8,9,8,9,9,8,8,9,9,9,9,9,9,8,7,7,7,6,5,6,6,6,6,7,6,7,7,7,8,9,8,8,8,9,9,9,8,8,8,8,8,8,8,7,7,6,6,6,6,6,7,7,7,7,7,7,7,8,8,7,8,8,8,9,9,9,9,9,9,9,8,8,8,8,8,7,7,6,6,6,6,6,7,7,8,8,7,7,7,7,7,7,6,6,6,5,4,4,4,4,3,3,2,1,2,2,1,1,2,1,2,3,3,3,3,2,2,1,1,1,1,0,0,0,1,2,2,3,4,3,3,3,4,5,4,4,5,6,6,6,6,6,7,7,7,7,8,8,8,9,9,9,9,9,8,8,8,7,7,6,6,5,4,4,4,4,4,4,3,3,2,3,3,3,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4,3,3,2,1,0,1,1,1,1,1,1
row_directions,1,1,0,0,0,0,1,0,-1,-1,0,1,-1,0,0,0,1,-1,1,-1,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,0,-1,1,-1,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,-1,1,-1,1,0,1,0,0,1,0,0,1,0,1,1,0,-1,1,1,0,-1,1,0,-1,1,0,-1,0,0,0,0,-1,0,-1,1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,1,-1,0,0,-1,-1,0,1,1,0,0,-1,0,-1,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,1,1,0,-1,0,1,0,1,1,1,-1,1,1,0,0,-1,1,-1,1,-1,-1,1,0,1,-1,-1,0,1,0,1,0,0,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,0,0,1,0,-1,1,-1,0,0,-1,0,1,1,0,1,1,0,-1,1,-1,1,1,-1,1,0,0,-1,0,1,-1,0,0,-1,0,1,-1,0,0,1,0,-1,0,0,0,-1,0,0,0,1,0,0,0,1,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,1,-1,0,-1,0,-1,-1,0,1,1,0,0,1,-1,1,0,0,-1,1,1,0,0,0,0,-1,0,-1,1,1,-1,0,-1,1,-1,0,-1,0,0,-1,0,-1,-1,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,1,1,1,-1,0,1,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1,-1,-1,1,-1,0,0,0,1,0,1,0,1,-1,0,1,-1,1,0,0,-1,0,1,0,1,-1,0,-1,1,0,0,0,1,-1,1,0,-1,1,-1,0,0,1,0,-1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,-1,1,1,-1,0,0,0,1,0,0,1,1,-1,0,0,0,-1,0,1,0,1,-1,1,0,0,-1,1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,1,0,-1,0,1,1,0,0,0,-1,1,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,-1,-1,-1,-1,1,0,-1,1,-1,0,-1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,-1,1,-1,1,1,0,-1,0,1,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,1,0,0,-1,1,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,1,-1,0,-1,1,0,0,0,-1,0,0,1,1,-1,1,0,0,0,0,0,0,0,1,1,1,0,-1,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,1,0,1,0,-1,-1,0,1,1,0,1,-1,0,0,-1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,1,-1,0,-1,0,-1,0,0,0,0,0,1,0,-1,0,-1,1,1,1,1,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,1,0,-1,0,0,0,1,1,0,-1,0,-1,1,1,-1,1,-1,0,1,0,0,1,-1,0,0,-1,-1,1,1,-1,0,-1,1,1,1,0,1,0,-1,1,1,-1,0,-1,0,-1,0,-1,-1,1,-1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,1,1,1,0,-1,0,1,1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1,-1,1,0,-1,1,0,1,-1,-1,0,0,-1,1,0,-1,0,-1,0,0,-1,1,0,-1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,1,0,1,0,1,0,1,-1,0,0,0,0,1,0,0,0,0,-1,1,1,1,1,-1
col_directions,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,-1,1,0,0,0,1,1,0,-1,1,1,-1,1,0,-1,-1,1,-1,1,0,-1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,-1,1,1,-1,-1,0,0,0,0,0,-1,-1,0,1,-1,-1,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0,-1,-1,-1,0,1,0,1,1,0,-1,0,-1,0,-1,0,-1,1,1,-1,1,0,0,1,-1,1,0,-1,0,1,0,1,1,0,0,1,-1,1,-1,0,0,1,0,1,-1,0,0,0,1,0,1,-1,1,0,0,-1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,0,0,1,0,-1,1,0,0,1,0,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0,0,0,1,-1,0,0,-1,0,1,0,0,0,-1,0,-1,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,1,-1,0,0,0,0,0,-1,1,0,-1,0,0,0,-1,1,-1,1,-1,-1,0,1,0,0,1,0,1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,-1,0,-1,0,0,-1,0,0,0,0,1,1,1,0,1,0,0,0,-1,-1,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,1,0,1,-1,0,0,-1,1,-1,0,1,-1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,-1,0,-1,1,-1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,1,1,0,0,-1,-1,1,0,0,-1,0,1,-1,0,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,-1,1,1,0,1,0,0,0,0,0,1,-1,-1,0,-1,0,1,0,0,-1,0,0,0,1,0,0,-1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,-1,0,-1,0,-1,0,-1,0,1,1,-1,1,1,1,0,-1,1,0,1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,-1,1,0,0,-1,0,-1,1,1,-1,1,-1,0,1,0,-1,0,0,1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,1,0,0,-1,0,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,1,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,0,1,0,1,0,0,1,0,0,0,-1,1,0,0,-1,1,0,-1,-1,1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,1,0,-1,0,1,1,0,0,0,0,-1,1,-1,1,0,0,-1,0,0,0,1,0,0,-1,-1,-1,0,1,1,-1,0,-1,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,-1,0,1,0,-1,1,0,-1,-1,0,0,0,1,1,0,0,0,-1,0,0,0,0,1,-1,0,1,0,0,0,-1,0,1,0,0,-1,1,-1,1,0,-1,0,1,0,0,0,0,0,-1,-1,0,0,-1,-1,1,0,0,0,1,-1,1,0,0,1,1,-1,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,-1,0,-1,-1,1,0,-1,0,1,-1,1,1,0,0,0,-1,0,-1,0,0,0,-1,0,0,1,1,0,1,1,-1,0,0,1,1,-1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,1,0,0,1,0,1,0,0,0,0,0,-1,0,1,0,0,0,-1,0,-1,0,-1,-1,-1,1,0,0,0,0,0,0

Robot,1
